COD_DATO_INVENFLO;COD_VISITA_PARCELA;COD_SP;COD_ABUNCOBER
1;3752;5966;3
2;3752;96620;2
3;3752;77110;1
4;3752;77220;3
5;3752;8914;1
6;3752;11771;3
7;3752;29599;4
8;3752;5939;1
9;3752;5741;5
10;3752;8183;2
11;3752;5717;6
12;3752;6130;3
13;3752;6134;1
14;3752;79250;4
15;3752;7957;3
16;3753;5966;4
17;3753;77110;4
18;3753;8252;3
19;3753;8914;2
20;3753;29599;3
21;3753;7157;3
22;3753;6954;1
23;3753;5731;4
24;3753;5708;7
25;3753;5717;5
26;3753;5718;1
27;3753;77370;4
28;3753;6130;3
29;3753;79250;1
30;3753;79370;1
31;3753;9542;1
32;3753;7957;3
33;3753;10429;2
34;3753;6624;2
35;3754;8792;1
36;3754;29664;5
37;3754;5966;3
38;3754;11200;2
39;3754;12052;1
40;3754;77110;3
41;3754;10838;1
42;3754;6702;1
43;3754;8252;5
44;3754;29599;2
45;3754;7053;7
46;3754;7103;2
47;3754;5741;2
48;3754;5748;2
49;3754;12007;2
50;3754;8183;3
51;3754;5708;1
52;3754;5717;2
53;3754;6130;4
54;3754;9542;4
55;3754;7957;1
56;3754;17860;1
57;3755;8792;3
58;3755;11947;2
59;3755;5966;3
60;3755;12198;3
61;3755;12052;1
62;3755;77110;5
63;3755;77220;3
64;3755;8252;7
65;3755;7053;7
66;3755;7078;3
67;3755;7103;2
68;3755;5939;3
69;3755;5741;3
70;3755;12007;1
71;3755;9682;2
72;3755;8133;6
73;3755;5708;3
74;3755;5717;2
75;3755;5718;6
76;3755;77370;4
77;3755;6130;2
78;3755;79250;2
79;3755;9542;6
80;3755;7957;1
81;3755;6624;1
82;3756;6422;6
83;3757;8252;2
84;3757;8286;4
85;3757;9677;1
86;3757;5712;5
87;3757;6130;4
88;3757;10429;7
89;3757;8281;8
90;3758;77080;3
91;3756;6540;1
92;3756;7023;3
93;3756;8286;7
94;3756;5731;4
95;3756;12007;2
96;3756;9682;4
97;3756;5712;6
98;3756;77370;7
99;3756;6130;4
100;3756;9770;3
101;3756;11308;7
102;3756;12260;7
103;3756;9720;1
104;3756;8281;6
105;3757;12198;2
106;3757;6540;7
107;3758;11947;1
108;3758;12198;5
109;3758;7023;1
110;3758;8252;6
111;3758;29599;2
112;3758;5731;4
113;3758;9682;4
114;3758;8182;1
115;3758;5712;5
116;3758;6130;4
117;3758;8735;1
118;3758;9542;5
119;3758;7957;1
120;3758;9720;3
121;3758;8568;3
122;3758;8281;3
123;3760;8252;7
124;3760;5731;4
125;3760;9677;4
126;3760;5712;6
127;3760;9770;8
128;3760;9542;2
129;3760;12260;3
130;3760;8568;4
131;3760;9642;3
132;3760;8281;6
133;3762;11947;1
134;3763;12198;5
135;3759;11262;2
136;3759;7023;5
137;3759;8252;6
138;3759;29599;2
139;3759;5731;3
140;3759;5735;1
141;3759;12007;2
142;3759;9677;5
143;3759;5712;5
144;3759;8256;1
145;3759;8735;2
146;3759;9770;1
147;3759;9542;4
148;3759;70;1
149;3759;17860;3
150;3759;11308;3
151;3759;12260;3
152;3759;8568;2
153;3759;8281;1
154;3762;11965;1
155;3762;12198;3
156;3762;11262;2
157;3762;7023;2
158;3762;7034;5
159;3762;12052;1
160;3762;8252;3
161;3762;29599;4
162;3762;11796;2
163;3762;8208;4
164;3762;8902;1
165;3762;5731;5
166;3762;12007;5
167;3762;9677;5
168;3762;9502;2
169;3762;5712;7
170;3762;5717;1
171;3762;11069;1
172;3762;6130;3
173;3762;10315;3
174;3762;9542;4
175;3762;7957;2
176;3762;12260;2
177;3762;9763;1
178;3762;8568;3
179;3762;9635;1
180;3762;8281;5
181;3763;77110;3
182;3763;8252;4
183;3763;29599;3
184;3763;5731;2
185;3763;12007;1
186;3763;9677;4
187;3763;5712;5
188;3763;6130;6
189;3763;9770;1
190;3763;10315;2
191;3763;9542;3
192;3763;7957;1
193;3763;12260;3
194;3763;8281;4
195;3765;12052;8
196;3765;77220;2
197;3765;8252;3
198;3765;12007;4
199;3765;5708;1
200;3765;5717;8
201;3765;77370;2
202;3765;6130;2
203;3765;7957;1
204;3765;9720;1
205;3765;8568;1
206;3764;10710;2
207;3764;11965;3
208;3764;5966;1
209;3764;12198;4
210;3764;77220;1
211;3764;8252;6
212;3764;29599;3
213;3764;5731;3
214;3764;12007;3
215;3764;6130;5
216;3764;9542;5
217;3764;9720;2
218;3764;8568;4
219;3764;9644;3
220;3764;8281;4
221;3765;5966;4
222;3766;77080;2
223;3766;6422;3
224;3766;11965;4
225;3766;5966;4
226;3766;8252;6
227;3766;29599;4
228;3766;5741;6
229;3766;9677;1
230;3766;5708;5
231;3766;5717;5
232;3766;6130;1
233;3766;9542;7
234;3766;9720;2
235;3766;9635;1
236;3768;12052;3
237;3768;77220;2
238;3768;5741;3
239;3768;9677;3
240;3768;5708;7
241;3768;5717;8
242;3768;6130;3
243;3768;9542;1
244;3768;7957;1
245;3768;9720;1
246;3769;79370;1
247;3769;7192;2
248;3767;11965;2
249;3767;5966;4
250;3767;11262;1
251;3767;12052;1
252;3767;8252;4
253;3767;11763;2
254;3767;29599;2
255;3767;7277;7
256;3767;5741;6
257;3767;12007;4
258;3767;9677;3
259;3767;9502;3
260;3767;77370;2
261;3767;6130;6
262;3767;9542;3
263;3767;9635;1
264;3768;77080;4
265;3768;6862;2
266;3768;5966;4
267;3769;77220;1
268;3769;7103;1
269;3769;5741;1
270;3769;5708;4
271;3769;5717;6
272;3770;11262;1
273;3770;10042;2
274;3770;12052;3
275;3770;77220;4
276;3770;11878;2
277;3770;8541;2
278;3770;8286;8
279;3770;8674;2
280;3770;29599;3
281;3770;13292;2
282;3770;7053;3
283;3770;7103;2
284;3770;7277;4
285;3770;5731;4
286;3770;12007;3
287;3770;9677;5
288;3770;5708;2
289;3770;5712;1
290;3770;77370;4
291;3770;11069;1
292;3770;6130;2
293;3770;9770;5
294;3770;10315;4
295;3770;17860;1
296;3770;9644;3
297;3770;8281;4
298;3773;5966;5
299;3773;96620;1
300;3773;12052;4
301;3773;77220;5
302;3773;8674;3
303;3773;5939;5
304;3773;6954;2
305;3773;5741;7
306;3773;12007;4
307;3773;9664;2
308;3773;6921;2
309;3773;5708;2
310;3773;5712;8
311;3773;77330;5
312;3773;6130;2
313;3773;79250;6
314;3773;10315;4
315;3773;9542;1
316;3773;7957;4
317;3773;6624;2
318;3773;8568;2
319;3771;77080;2
320;3771;11965;4
321;3771;5966;1
322;3771;77110;2
323;3771;77220;2
324;3771;8546;1
325;3771;8286;1
326;3771;29599;5
327;3771;7277;7
328;3771;12007;3
329;3771;9677;5
330;3771;9502;5
331;3771;8798;4
332;3771;77370;8
333;3771;6130;2
334;3771;10315;2
335;3771;9542;1
336;3771;7957;2
337;3771;17860;5
338;3771;9720;2
339;3771;9635;5
340;3773;77080;4
341;3773;7192;1
342;3774;77080;5
343;3774;6422;4
344;3774;11965;3
