COD_SP;NOMBRE_CIEN;NOMBRE_COMUN
-1;Indefinido;
0;Biodiversidad;
1;Fauna;
2;Microorganismos;
3;Hongos;
4;Flora;
5;Ecosistemas;
6;Líquenes;
7;Vegetación;
8;Algae;
13;Bryophyta;
14;Hepatophyta;
15;Pteridophyta;
16;Spermatophyta;
17;Bryopsida;
18;Coniferophytina;
19;Cycadophytina;
20;Magnoliopsida;
21;Liliopsida;
23;Andraeaopsida;
25;Magnoliidae;
26;Hamamelidae;
27;Caryophyllidae;
28;Dilleniidae;
29;Rosidae;
30;Asteridae;
31;Alismatidae;
32;Arecidae;
33;Commelinidae;
34;Liliidae;
35;Hepaticae;
36;Hepatopsida;
37;Marchantiae;
38;Marchantiales;
39;Targionaceae;
40;Targionia;
41;Targionia hypophylla;
42;Lunulariaceae;
43;Lunularia;
44;Sphaerocarpidae;
45;Sphaerocarpales;
46;Riellaceae;
47;Riella;
48;Riella helicophylla;
54;---;Otras especies
68;especie desconocida 1;
69;especie desconoida 2;
70;Sedum annuum;
201;Psilotales;
202;Lycopodiatae;
203;Selaginellales;
204;Isoetales;
205;Equisetatae;
206;Equisetales;
207;Filicatae;
210;Eusporangiatae;
211;Ophioglossales;
212;Leptosporangiatae;
220;Ginkgoatae;
221;Pinatae;
222;Lyginopteridatae;
223;Cycadidae;
224;Bennettitae;
225;Gnetatae;
240;Laurales;
241;Aristolochiales;
242;Nymphaeales;
243;Ranunculales;
244;Papaverales;
246;Urticales;
247;Fagales;
250;Caryophyllales;
251;Polygonales;
252;Plumbaginales;
255;Dilleniales;
256;Theales;
257;Malvales;
258;Nepenthales;
259;Violales;
260;Salicales;
261;Capparales;
262;Ericales;
263;Primulales;
265;Rosales;
266;Fabales;
267;Haloragales;
268;Myrtales;
269;Santalales;
270;Rafflesiales;
271;Celastrales;
272;Euphorbiales;
273;Rhamnales;
274;Linales;
275;Polygalales;
276;Sapindales;
277;Geraniales;
278;Apiales;
280;Gentianales;
281;Solanales;
282;Lamiales;
283;Callitrichales;
284;Plantaginales;
285;Scrophulariales;
286;Campanulales;
287;Rubiales;
288;Dipsacales;
289;Asterales;
290;Cornales;
291;Alismatales;
292;Hydrocharitales;
293;Najadales;
295;Arecales;
296;Arales;
297;Juncales;
298;Cyperales;
301;Typhales;
302;Liliales;
303;Orchidales;
1423;Helianthus;
1424;Helianthus annus;
1425;Helianthus multiflorus;
1426;Triticum;
1700;Psilotaceae;
1701;Selaginellaceae;
1702;Isoetaceae;
1703;Equisetaceae;
1710;Ophioglossaceae;
1711;Osmundaceae;
1712;Polypodiaceae;
1713;Sinopteridaceae;
1714;Pteridaceae;
1715;Adiantaceae;
1716;Hemionitidaceae;
1717;Marsileaceae;
1718;Hymenophyllaceae;
1720;Azollaceae;
1721;Culcitaceae;
1722;Hypolepidaceae;
1723;Thelypteridaceae;
1724;Aspleniaceae;
1725;Athyriaceae;
1726;Aspidiaceae;
1727;Davalliaceae;
1728;Blechnaceae;
1730;Pinaceae;
1731;Cupressaceae;
1732;Taxaceae;
1740;Ephedraceae;
1750;Lauraceae;
1751;Aristolochiaceae;
1752;Nymphaeaceae;
1753;Ceratophyllaceae;
1754;Ranunculaceae;
1755;Berberidaceae;
1756;Coriariaceae;
1758;Papaveraceae;
1759;Fumariaceae;
1761;Ulmaceae;
1762;Moraceae;
1763;Urticaceae;
1765;Fagaceae;
1766;Betulaceae;
1770;Phytolaccaceae;
1771;Aizoaceae;
1772;Cactaceae;
1773;Chenopodiaceae;
1774;Amaranthaceae;
1775;Portulacaceae;
1776;Molluginaceae;
1777;Caryophyllaceae;
1780;Polygonaceae;
1782;Plumbaginaceae;
1784;Paeoniaceae;
1785;Elatinaceae;
1786;Clusiaceae;
1787;Malvaceae;
1788;Droseraceae;
1790;Cistaceae;
1791;Violaceae;
1792;Tamaricaceae;
1793;Frankeniaceae;
1794;Cucurbitaceae;
1795;Salicaceae;
1796;Capparaceae;
1797;Brassicaceae;
1798;Resedaceae;
1800;Empetraceae;
1801;Ericaceae;
1805;Primulaceae;
1808;Crassulaceae;
1809;Saxifragaceae;
1810;Rosaceae;
1812;Fabaceae;
1814;Caesalpiniaceae;
1815;Haloragaceae;
1816;Lythraceae;
1817;Thymelaeaceae;
1818;Myrtaceae;
1819;Onagraceae;
1820;Santalaceae;
1821;Viscaceae;
1822;Balanophoraceae;
1824;Raflessiaceae;
1826;Aquifoliaceae;
1828;Euphorbiaceae;
1830;Rhamnaceae;
1831;Vitaceae;
1833;Linaceae;
1835;Polygalaceae;
1836;Aceraceae;
1837;Anacardiaceae;
1838;Simaroubaceae;
1839;Rutaceae;
1840;Zygophyllaceae;
1845;Oxalidaceae;
1846;Geraniaceae;
1848;Araliaceae;
1849;Apiaceae;
1852;Gentianaceae;
1853;Apocynaceae;
1854;Asclepiadaceae;
1856;Solanaceae;
1857;Convolvulaceae;
1858;Cuscutaceae;
1860;Boraginaceae;
1861;Verbenaceae;
1862;Lamiaceae;
1864;Callitrichaceae;
1865;Plantaginaceae;
1867;Oleaceae;
1868;Scrophulariaceae;
1869;Globulariaceae;
1870;Orobanchaceae;
1872;Acanthaceae;
1873;Lentibulariaceae;
1875;Campanulaceae;
1877;Rubiaceae;
1878;Theligonaceae;
1880;Caprifoliaceae;
1881;Valerianaceae;
1882;Dipsacaceae;
1884;Asteraceae;
1885;Cornaceae;
1890;Alismataceae;
1891;Hydrocharitaceae;
1892;Juncaginaceae;
1893;Potamogetonaceae;
1894;Ruppiaceae;
1895;Najadaceae;
1896;Zannichelliaceae;
1897;Cymodoceaceae;
1898;Zosteraceae;
1900;Arecaceae;
1905;Araceae;
1906;Lemnaceae;
1908;Juncaceae;
1910;Cyperaceae;
1911;Poaceae;
