ID_PARCELA;NOMBRE;ALTITUD;UTM_X_GPS;UTM_Y_GPS;PENDIENTE;ORIENTACION
1;ABL01;1249,00;522185;4105492,00;30;30
2;ABL02;1342,00;521680;4105491,00;29;20
3;ABL03;1366,00;521694;4104993,00;52;340
4;ABL04;1423,00;521179;4105494,00;27;80
5;ABL05;1348,00;521185;4105994,00;35;120
6;ABL06;1529,00;520683;4105491,00;45;50
7;ABL07;1609,00;520684;4104997,00;37;150
8;ABL08;1318,00;520934;4106493,00;30;70
9;ABL09;1361,00;520680;4106487,00;31;355
10;ABL10;1389,00;520430;4106491,00;34;50
11;ABL11;1412,00;520171;4106489,00;47;90
12;ABL12;1353,00;520432;4106738,00;20;80
13;ABL13;1336,00;520681;4106738,00;35;140
14;ABL14;1299,00;520936;4106743,00;15;95
15;ABL15;1320,00;520934;4106993,00;7;80
16;ABL16;1331,00;520682;4106992,00;16;40
17;ABL17;1360,00;520432;4106995,00;30;330
18;ABR01;2001,00;517684;4104497,00;31;48
19;ABR02;1855,00;517187;4104996,00;37;27
20;ABR03;1714,00;516683;4105493,00;53;52
21;ABR04;1393,00;515437;4106493,00;70;335
22;ABR05;1777,00;515184;4105497,00;43;278
23;ABR06;1393,00;514934;4106242,00;80;150
24;ABR07;1397,00;514931;4106496,00;61;150
25;ABR08;1375,00;515165;4107273,00;21;135
26;ABR09;1378,00;514934;4106997,00;25;105
27;ABR10;1400,00;514937;4106743,00;51;110
28;ABR11;1464,00;514682;4106995,00;32;119
29;ABR12;1411,00;514184;4106991,00;25;335
30;ABR13;1699,00;514186;4105992,00;42;90
31;ABR14;1566,00;513685;4106495,00;27;292
32;ABR15;1534,00;513183;4106995,00;45;92
33;ABR16;1472,00;513189;4106492,00;48;340
34;ABR17;1880,00;513682;4105495,00;40;110
35;ABR18;1557,00;512682;4106494,00;56;94
36;ABR19;1648,00;512666;4106971,00;20;85
37;ABR20;1897,00;511680;4105996,00;34;105
38;ABR21;1992,00;510182;4106490,00;27;65
39;ABR22;1948,00;510182;4106993,00;11;30
40;ABR23;1901,00;509683;4106996,00;20;340
41;ABR24;1416,00;514684;4107246,00;66;328
42;ABR26;1353,00;516681;4106741,00;26;320
43;ALB01;1551,00;527183;4102992,00;25;50
44;ALB02;1495,00;527179;4103489,00;40;32
45;ALB03;1562,00;526683;4103488,00;27;5
46;ALB04;1420,00;527680;4103493,00;20;50
47;ALB05;1440,00;527684;4102996,00;55;145
48;ALB06;1409,00;528180;4102487,00;22;130
49;ALB07;1320,00;528463;4102180,00;25;110
50;ALB08;1266,00;528646;4102176,00;28;195
51;ALB09;1222,00;528693;4101995,00;23;160
52;ALB10;1395,00;526682;4103993,00;50;345
53;ALB11;1400,00;527181;4103992,00;2;1
54;ALB12;1380,00;527686;4103988,00;25;210
55;ALB13;1381,00;528183;4103989,00;15;350
56;ALB14;1360,00;528179;4103490,00;20;190
57;ALB15;1356,00;528182;4102990,00;36;345
58;ALB16;1249,00;528402;4101701,00;30;90
59;ALB17;1343,00;528430;4102491,00;36;70
