COD_VISITA_PARCELA;ID_PARCELA;GRUPO;FECHA;HORA_INICIO;HORA_FIN;COD_COB_TOTAL;COD_CLASESUELO
3417;378;Grupo nº 3;20/10/2004 0:00:00;30/12/1899 9:45:00;30/12/1899 11:10:00;8;2
3418;229;Grupo nº 2;21/9/2004 0:00:00;30/12/1899 14:00:00;30/12/1899 15:15:00;10;2
3419;1;Grupo nº 3;31/8/2004 0:00:00;30/12/1899 10:25:00;30/12/1899 11:20:00;6;2
3420;10;Grupo nº 3;2/9/2004 0:00:00;30/12/1899 7:50:00;30/12/1899 8:55:00;7;2
3421;100;Grupo nº 2;30/9/2004 0:00:00;30/12/1899 11:40:00;30/12/1899 12:45:00;8;2
3422;101;Grupo nº 2;4/10/2004 0:00:00;30/12/1899 12:40:00;30/12/1899 13:50:00;10;2
3423;102;Grupo nº 2;30/9/2004 0:00:00;30/12/1899 13:15:00;30/12/1899 14:20:00;8;2
3424;104;Grupo nº 2;27/10/2004 0:00:00;30/12/1899 12:30:00;30/12/1899 13:15:00;8;2
3425;105;Grupo nº 2;27/10/2004 0:00:00;30/12/1899 13:45:00;30/12/1899 14:30:00;9;2
3426;106;Grupo nº 2;27/10/2004 0:00:00;30/12/1899 14:55:00;30/12/1899 15:50:00;10;2
3427;107;Grupo nº 2;27/10/2004 0:00:00;30/12/1899 16:10:00;30/12/1899 17:00:00;10;2
3428;103;Grupo nº 2;27/10/2004 0:00:00;30/12/1899 10:00:00;30/12/1899 10:25:00;10;2
3429;108;Grupo nº 3;10/8/2004 0:00:00;30/12/1899 9:20:00;30/12/1899 10:40:00;8;1
3430;109;Grupo nº 3;13/8/2004 0:00:00;30/12/1899 8:10:00;30/12/1899 9:30:00;7;2
3431;11;Grupo nº 3;1/9/2004 0:00:00;30/12/1899 13:00:00;30/12/1899 14:00:00;6;2
3432;110;Grupo nº 3;13/10/2004 0:00:00;30/12/1899 8:45:00;30/12/1899 9:50:00;7;2
3433;111;Grupo nº 3;14/10/2004 0:00:00;30/12/1899 14:55:00;30/12/1899 16:15:00;7;2
3434;112;Grupo nº 3;13/10/2004 0:00:00;30/12/1899 15:00:00;30/12/1899 16:30:00;7;2
3435;113;Grupo nº 3;14/10/2004 0:00:00;30/12/1899 13:00:00;30/12/1899 13:55:00;8;2
3436;114;Grupo nº 3;14/10/2004 0:00:00;30/12/1899 11:40:00;30/12/1899 12:40:00;7;2
3437;115;Grupo nº 3;7/10/2004 0:00:00;30/12/1899 8:55:00;30/12/1899 9:50:00;8;2
3438;116;Grupo nº 3;7/10/2004 0:00:00;30/12/1899 10:45:00;30/12/1899 12:25:00;9;2
3439;117;Grupo nº 3;14/10/2004 0:00:00;30/12/1899 10:30:00;30/12/1899 11:25:00;8;2
3440;118;Grupo nº 3;7/10/2004 0:00:00;30/12/1899 15:20:00;30/12/1899 16:15:00;7;2
3441;119;Grupo nº 3;13/10/2004 0:00:00;30/12/1899 12:50:00;30/12/1899 14:20:00;8;2
3442;12;Grupo nº 3;1/9/2004 0:00:00;30/12/1899 14:50:00;30/12/1899 16:00:00;8;2
3443;120;Grupo nº 3;13/10/2004 0:00:00;30/12/1899 11:05:00;30/12/1899 12:15:00;8;2
3444;600;;7/10/2004 0:00:00;30/12/1899 12:45:00;30/12/1899 14:15:00;8;2
3445;121;Grupo nº 3;14/10/2004 0:00:00;30/12/1899 8:35:00;30/12/1899 9:30:00;8;2
3446;122;Grupo nº 3;27/9/2004 0:00:00;30/12/1899 11:10:00;30/12/1899 12:35:00;4;2
3447;123;Grupo nº 3;14/9/2004 0:00:00;30/12/1899 1:10:00;30/12/1899 17:20:00;8;2
3448;124;Grupo nº 3;27/9/2004 0:00:00;30/12/1899 13:20:00;30/12/1899 14:40:00;6;2
3449;125;Grupo nº 3;28/9/2004 0:00:00;30/12/1899 14:20:00;30/12/1899 15:40:00;7;2
