x;y;hidro_tci;hidro_acum;tp_elev;tp_pend;tp_expo_1000;tp_or;tp_es_oe;tp_su_no;tp_rsd_i;tp_rsd_p;tp_rsd_v;tp_rsd_o;tp_rsh_i;tp_rsh_p;tp_rsh_v;tp_rsh_o;hu_2000_max;dis_mar;P_inv;P_pri;P_ver;P_oto;P_anual;tminI;tminP;tminV;tminO;tmaxI;tmaxP;tmaxV;tmaxO
456550;4099050;6.33;96.24;1544;36.4;-77.9;49;39;89;0;1060;5696;4189;0;5;11.5;9;0;3.371.337;2.258.861.678;13.992.916.667;71.608.373;24.693.931.159;68.436.301.906;110.330.810.033.333;5.239.913.806;1.376.497.865;776.498.514.566.667;877.351.335.333.333;1.422.876.327;2.555.787.604;169.079.268.333.333
456550;4098650;5.8;56.28;1749;26.9;16;119;58;91;327;1829;6602;5255;3.5;7.5;12.6;11.6;0.01;3.333.211;2.367.569.161;15.101.416.667;8.269.549.084;25.824.094.204;72.870.751.565;0.863451399666667;499.747.443.733.333;135.212.179.566.667;752.308.345.866.667;845.759.018.466.667;139.079.207.266.667;252.352.836.333.333;165.879.246.033.333
456650;4101550;5.96;66.34;1478;20.5;-118.9;74;42;92;358;1760;6609;5436;2.5;5.5;11;10.5;31.2;3.613.363;22.416.553.289;13.739.166.667;6.848.187.734;24.291.485.508;67.295.393.198;0.660193602666667;479.165.190.133.333;1.331.408.275;731.779.600.933.333;818.860.061.466.667;136.340.359.466.667;249.596.543.766.667;163.148.687.666.667
456650;4101450;4.88;22.49;1513;18.2;-93.8;74;39;89;437;1799;6886;5616;2.5;5;11.5;10.5;33.1;3.603.774;22.561.723.356;13.909.416.667;6.991.628.351;24.447.916.667;67.910.685.041;0.453255613;4.582.167.196;1.310.329.394;710.884.377;791.501.066.866.667;133.555.753.533.333;2.467.945.491;160.372.257.666.667
456650;4101350;10.35;3761.91;1551;5.1;-76.3;83;40;90;1019;2398;7167;5882;3;4.5;10.5;8.5;34;3.594.188;22.789.795.919;14.116.166.667;7.223.730.203;2.467.182.971;68.801.522.499;0.310903147666667;4.437.286.253;129.571.175.133.333;6.964.492.655;772.416.023.766.667;131.598.789.766.667;244.820.253.366.667;1.584.233.571
456650;4101250;10.56;3306.36;1598;10.7;-55.7;57;38;88;1004;2709;7088;5653;3.5;6;10.5;8.5;33.9;3.584.603;23.039.727.891;14.357.416.667;7.466.759.431;24.906.431.159;69.770.335.148;0.848762377;4.979.279.655;1.349.950.273;75.054.529;845.376.040.466.667;138.992.003.933.333;252.209.883.266.667;1.658.027.194
456650;4099150;5.68;64.55;1530;25.2;-101.2;84;70;79;203;1475;6540;5035;4;7;12.5;11.5;0;3.383.888;22.611.609.977;13.974.333.333;7.146.480.332;24.704.166.667;68.436.590.309;0.612420896666667;474.038.782.466.667;1.325.929.236;7.267.080.442;814.257.017.033.333;135.831.249.933.333;249.031.525.266.667;162.650.118.633.333
456650;4098650;4.52;15.65;1760;29.8;9.6;81;61;88;0;1112;6335;4742;0;7;13.5;12;0.2;3.336.267;2.372.557.823;151.135;8.275.019.493;25.874.547.101;72.988.644.824;0.238121406;404.915.815.666.667;121.203.775.266.667;657.925.133.466.667;988.116.625.466.667;147.803.664.633.333;2.531.712.851;174.892.506.766.667
456650;4098550;4.07;12.02;1814;26.5;27.9;135;60;89;822;2353;6796;5556;5.5;8.5;13.1;11.6;2.25;3.326.752;2.403.909.297;15.399.333.333;8.588.520.071;26.189.221.015;74.216.167.389;-0.818249459333333;3.326.515.947;120.140.916.733.333;598.208.640.133.333;704.692.642.233.333;123.623.822.776.667;2.396.940.408;15.076.908.325
456750;4101550;4.52;15.7;1484;28.1;-120.9;78;51;98;0;1151;5939;4695;0;5.5;11;10.5;33.2;361.621;22.499.047.619;137.875;6.884.607.835;24.365.217.391;67.536.372.845;-0.674927248666667;346.934.417.866.667;121.563.837.946.667;612.523.697.933.333;7.237.319.896;125.509.097.163.333;241.566.204.566.667;152.657.201.636.667
456750;4101450;6.45;76.46;1517;23.1;-94.8;87;56;93;140;1275;6513;5161;1.5;4.5;11.5;10.5;34.1;3.606.629;22.655.918.367;139.6;7.062.765.185;24.549.003.624;68.227.687.176;-0.518291702666667;362.549.146.133.333;123.119.994;6.281.705.315;744.482.459.866.667;1.275.655.805;243.609.667.466.667;154.716.531.466.667
456750;4101350;5.88;60.88;1558;28.1;-71.7;52;65;84;0;954;6248;4805;0;3.5;10.5;9;34;359.705;22.864.126.984;141.87;7.287.413.622;24.777.264.493;69.115.805.099;-0.354532477;378.876.803.933.333;124.747.488.566.667;644.530.173.866.667;766.151.939.166.667;129.714.059.966.667;245.745.216.433.333;1.568.678.599
456750;4101250;5.76;43.1;1617;26;-36.8;127;79;70;562;1803;6591;4955;4.5;6;11.5;9;33.95;3.587.473;23.188.979.591;14.505.416.667;7.608.026.136;25.108.967.391;70.411.389.785;-0.337504823666667;3.805.318.475;124.907.767.666.667;646.217.088.533.333;769.056.365.966.667;129.986.127.833.333;246.004.443.166.667;157.142.779.933.333
456750;4101150;6.61;126.68;1650;21;-33.2;136;77;72;963;2493;6733;5543;5;7;11;10;33;3.577.899;2.334.861.678;14.651.166.667;7.771.963.647;2.525.289.855;71.024.645.644;-0.536488904333333;360.586.244.166.667;122.908.028.966.667;626.303.248.833.333;744.332.016.266.667;127.495.409.766.667;243.500.974.566.667;154.654.918
456750;4101050;3.4;5.13;1678;30;-37.8;149;68;81;872;2296;6441;5330;4;6;10.5;10;32.05;3.568.327;2.348.952.381;148.115;792.482.321;25.432.065.217;71.657.912.237;-0.292255536;3.849.167.078;1.253.308.624;650.696.963.666.667;7.770.673.324;130.732.642.166.667;246.712.971.533.333;1.578.978.753
456750;4100950;6.18;106.95;1708;21.8;-40.3;80;60;89;410;1895;6691;5295;4;8;12;10.5;30.95;3.558.757;23.600.589.569;149.005;8.029.482.939;25.525.181.159;72.055.753.667;0.956359801333333;505.958.657.366.667;1.370.155.244;766.692.040.333.333;776.137.146;130.718.128.466.667;246.006.323.566.667;1.578.497.099
456750;4100850;7.03;193.79;1740;15.8;-35.8;124;53;96;1015;2793;7237;5954;5;8;12;10.5;28.9;354.919;23.755.238.095;15.091.083.333;8.178.393.967;2.572.164.855;72.746.363.945;1.206.151.665;530.815.448.566.667;1.394.951.431;7.916.123.557;808.504.964.433.333;1.339.270.632;249.201.402.866.667;1.610.634.044
456750;4099150;7.93;375.83;1555;23.3;-91;151;72;77;1136;2920;6986;5976;4.5;7.5;11.5;11;0;3.386.928;22.815.374.149;14.148.333.333;7.313.567.799;24.912.952.899;6.919.022.818;-0.881461832666667;323.740.829.366.667;119.076.852.283.333;5.892.541.166;670.547.584.333.333;11.971.114.015;2.353.735.067;146.944.033.253.333
456750;4099050;6.64;130.2;1590;34.9;-62.7;151;78;71;502;2441;6381;5317;2.5;7;11;10;0;3.377.407;2.302.154.195;14.324.583.333;7.510.819.822;25.118.025.363;69.974.970.468;-0.946009457;317.241.119.866.667;118.422.148.453.333;582.785.963.433.333;663.201.680.466.667;118.958.747.713.333;234.609.119.166.667;146.194.668.406.667
456750;4098350;4.18;11.11;1886;22;15.7;72;48;98;114;2002;6940;5487;1;7.5;13;11.5;5.05;3.310.838;24.389.523.809;15.741.666.667;8.945.623.942;26.578.170.291;75.654.984.709;-107.598.994.333.333;304.198.619.766.667;11.711.322.086;569.774.940.633.333;647.491.838.066.667;117.370.046.523.333;233.008.509.966.667;144.609.000.636.667
